id,time,daily_PA,collaboration,age,daily_NA
1,0,2.6666666666666665,4,59,1.7777777777777777
1,1,3,2,59,1.4444444444444444
1,2,3.3333333333333335,2,59,1.3333333333333333
1,3,3,2,59,1.4444444444444444
1,4,3,2,59,1.5555555555555556
1,5,2.3333333333333335,4,59,3.0555555555555554
1,6,2.6666666666666665,1,59,1.3333333333333333
1,7,NA,NA,59,NA
1,8,1.3333333333333333,3,59,1.4444444444444444
1,9,2.3333333333333335,2,59,1.4444444444444444
1,10,1.3333333333333333,3,59,1.5555555555555556
1,11,1.6666666666666667,2,59,1.4444444444444444
1,12,1.3333333333333333,3,59,1.5555555555555556
1,13,NA,NA,59,NA
2,0,5,5,56,1
2,1,5,5,56,1
2,2,5,4,56,1
2,3,NA,NA,56,NA
2,4,5,4,56,1.1666666666666667
2,5,5,5,56,1
2,6,5,5,56,1
2,7,NA,NA,56,NA
2,8,5,4,56,1
2,9,5,4,56,1
2,10,NA,NA,56,NA
2,11,5,4,56,1
2,12,NA,NA,56,NA
2,13,5,4,56,1
3,0,4,3,62,1.2777777777777777
3,1,4,3,62,1
3,2,4,3,62,1
3,3,4,3,62,1.1111111111111112
3,4,4.333333333333333,3,62,1
3,5,4.333333333333333,3,62,1
3,6,4,3,62,1
3,7,4,3,62,1
3,8,4,3,62,1.1111111111111112
3,9,4.333333333333333,3,62,1
3,10,3,3,62,1.222222222222222
3,11,4,3,62,1
3,12,4,3,62,1
3,13,4,3,62,1
4,0,5,5,66,1.6666666666666667
4,1,NA,NA,66,NA
4,2,5,5,66,1
4,3,5,5,66,1
4,4,5,4,66,1.6666666666666667
4,5,5,5,66,1
4,6,5,5,66,1
4,7,5,5,66,1
4,8,5,5,66,1.3888888888888888
4,9,5,5,66,1
4,10,5,5,66,1
4,11,5,5,66,1
4,12,5,5,66,1
4,13,5,5,66,1
4,15,5,5,66,1
5,0,NA,NA,66,NA
5,1,4,3,66,1.4444444444444444
5,2,4,3,66,1.4444444444444444
5,3,4,3,66,1
5,4,4,2,66,1
5,5,4,3,66,1
5,6,4,3,66,1
5,7,4,2,66,1
5,8,4,2,66,1
5,9,4,3,66,1
5,10,4,2,66,1
5,11,4,2,66,1
5,12,4,3,66,1
5,13,4,3,66,1
6,0,3.3333333333333335,4,43,1.3333333333333333
6,1,3.6666666666666665,5,43,1.5555555555555556
6,2,3,4,43,1.2222222222222223
6,3,4,3,43,1.2222222222222223
6,4,3.6666666666666665,4,43,1.4444444444444444
6,5,3,3,43,1.7777777777777777
6,6,3,3,43,1.1111111111111112
6,7,2.6666666666666665,4,43,1.5555555555555556
6,8,3,4,43,1.4444444444444444
6,9,3.6666666666666665,4,43,1.4444444444444444
6,10,3.3333333333333335,4,43,1.3333333333333333
6,11,3,4,43,1.5555555555555556
6,12,3.3333333333333335,3,43,1.1111111111111112
7,0,4,1,49,1.4444444444444444
7,1,4,1,49,1
7,2,4.666666666666667,3,49,1
7,3,4,5,49,1
7,4,5,1,49,1
