coupleid,time,isdhappy1,isdhappy2,isdhappy3,isphappy1,isphappy2,isphappy3,isddepr1,isddepr2,isddepr3,ispdepr1,ispdepr2,ispdepr3,isdanx1r,isdanx2,isdanx3,ispanx1r,ispanx2,ispanx3,isdanger1,isdanger2,isdanger3,ispanger1,ispanger2,ispanger3
1,0,3,2,3,4,3,4,1,2,1,2,1,2,2,3,3,3,2,2,1,1,1,2,3,3
1,1,3,3,3,4,3,4,1,2,1,1,1,2,3,2,2,3,3,2,1,1,1,2,2,2
1,2,3,4,3,2,2,2,1,1,1,4,1,4,2,2,2,4,3,4,1,1,1,4,4,4
1,3,3,3,3,4,4,4,1,2,1,1,1,1,3,2,2,3,2,2,1,1,1,2,2,2
1,4,3,3,3,5,4,5,1,1,3,1,1,1,3,2,2,5,2,1,1,1,1,1,1,1
1,5,5,1,1,4,3,4,4,2,3,2,1,2,5,5,2,3,1,2,5,2,1,2,3,3
1,6,3,2,3,4,3,3,1,1,1,1,1,1,4,2,2,3,2,2,1,1,1,1,2,2
1,7,NA,NA,NA,4,4,4,NA,NA,NA,1,1,2,NA,NA,NA,3,2,3,NA,NA,NA,1,2,2
1,8,1,2,1,NA,NA,NA,1,1,1,NA,NA,NA,3,2,2,NA,NA,NA,1,2,1,NA,NA,NA
1,9,2,2,3,3,4,2,1,1,1,3,2,4,4,2,2,2,3,4,1,2,1,3,4,4
1,10,1,2,1,4,4,4,1,2,1,2,1,2,4,2,2,2,2,2,1,2,1,2,2,2
1,11,1,2,2,3,3,3,2,1,1,2,2,2,4,2,2,3,2,2,1,1,1,2,2,2
1,12,1,2,1,3,3,3,1,2,1,2,1,1,4,2,2,3,2,3,1,2,1,1,1,2
1,13,NA,NA,NA,3,3,3,NA,NA,NA,2,2,2,NA,NA,NA,3,2,3,NA,NA,NA,2,2,2
2,0,5,5,5,3,2,2,1,1,1,1,1,1,3,1,1,4,3,2,1,1,1,1,1,1
2,1,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,5,1,3,1,1,1,2,2,2
2,2,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,1
2,3,NA,NA,NA,2,2,2,NA,NA,NA,1,1,1,NA,NA,NA,4,1,2,NA,NA,NA,1,1,1
2,4,5,5,5,3,3,3,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1
2,5,5,5,5,2,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1
2,6,5,5,5,3,1,1,1,1,1,2,1,2,1,1,1,5,2,1,1,1,1,1,1,1
2,7,NA,NA,NA,3,3,1,NA,NA,NA,1,1,1,NA,NA,NA,5,1,1,NA,NA,NA,1,2,1
2,8,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
2,9,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
2,10,NA,NA,NA,2,3,1,NA,NA,NA,1,1,1,NA,NA,NA,5,1,1,NA,NA,NA,1,1,1
2,11,5,5,5,3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
2,12,NA,NA,NA,3,1,3,NA,NA,NA,1,1,1,NA,NA,NA,5,1,1,NA,NA,NA,1,1,1
2,13,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
3,0,4,4,4,4,4,4,2,1,1,1,1,1,2,1,2,3,1,2,1,1,1,1,1,1
3,1,4,4,4,4,2,4,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,2,1
3,2,4,4,4,4,4,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
3,3,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,2,1
3,4,5,4,4,3,2,2,1,1,1,1,1,3,2,1,1,3,1,1,1,1,1,2,3,2
3,5,5,4,4,4,3,4,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
3,6,4,4,4,3,3,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
